PC1,PC2,label
7.596127,0.93232363,1
35.110126,-0.7260233,1
-0.26856932,19.469835,0
-17.223951,-3.8102589,0
-23.174862,16.322878,0
-30.752417,-19.923193,1
-4.4529037,6.859321,0
2.6678033,-4.87266,0
40.25661,4.0145183,1
-19.511612,18.842958,0
16.865936,-8.091274,1
20.796366,13.371866,1
38.44233,7.736787,1
-4.606971,-19.560509,0
-2.4498575,-10.77092,0
-7.3334,24.87413,0
-2.2329352,-16.64539,1
-0.78505915,11.07779,0
28.614498,-6.7303567,1
-12.190469,-19.694193,1
25.53836,19.804644,0
19.178741,-8.471316,1
30.697382,-13.3130245,1
-20.011543,26.598421,0
-8.634517,-9.872587,0
-0.23715504,11.231859,0
